Title,Author(s),First Published Year,ISBN-10,ISBN-13,Publisher,Language
The swords of night and day,David A. Gemmell,2004,N/A,N/A,N/A,eng
Will Save The Galaxy For Food,Yahtzee Croshaw,2017,N/A,N/A,N/A,eng
Visser,Katherine Applegate,1999,N/A,N/A,N/A,"eng, fre"
Strange New World,Rachel Vincent,2018,N/A,N/A,N/A,N/A
Chaining the lady,Piers Anthony,1978,N/A,N/A,N/A,eng
"Doom Patrol, Book 1",Grant Morrison,2000,N/A,N/A,N/A,"spa, eng"
The Witling,Vernor Vinge,1976,N/A,N/A,N/A,eng
DOCTOR WHO,Eric Saward,1985,N/A,N/A,N/A,eng
The Stainless Steel Rat Goes to Hell,"Harry Harrison, Harry Harrison      , Harry Harrison",1996,N/A,N/A,N/A,"ger, eng"
Rainbow Mars,Larry Niven,1999,N/A,N/A,N/A,eng
Headhunter,Timothy Findley,1993,N/A,N/A,N/A,"ger, dan, eng, fre"
Aliens for breakfast,Jonathan Etra,1988,N/A,N/A,N/A,eng
The bristling wood,Katharine Kerr,1989,N/A,N/A,N/A,eng
Spider-Man,Diane Duane,1994,N/A,N/A,N/A,eng
Star Wars - Tales from the Mos Eisley Cantina,Kevin J. Anderson,1995,N/A,N/A,N/A,"ger, eng"
Star Wars - Dark Nest - The Unseen Queen,Troy Denning,2005,N/A,N/A,N/A,eng
Star Wars - Queen's Peril,E. K. Johnston,2020,N/A,N/A,N/A,eng
Changelings,"Anne McCaffrey, Elizabeth Ann Scarborough",2005,N/A,N/A,N/A,eng
Wandering Stars,"Jack Dann, Isaac Asimov, Dann, Jack, William Tenn, Carol Carr, Robert Silverberg, Horace Gold, Pamela Sargent, Bernard Malamud, Alec Effinger, Robert Sheckley, Isaac Bashevis Singer, Harlan Ellison",1974,N/A,N/A,N/A,eng
Brasyl,Ian McDonald,2007,N/A,N/A,N/A,eng
Violence,James Gilligan,1996,N/A,N/A,N/A,eng
Eye,Frank Herbert,1985,N/A,N/A,N/A,"eng, ger"
The sword of the spirits,Sam Youd,1972,N/A,N/A,N/A,"und, eng"
City of Death,James Goss,2015,N/A,N/A,N/A,eng
One Human Minute,Stanisław Lem,1986,N/A,N/A,N/A,eng
Star Trek - Dreams of the Raven,Carmen Carter,1987,N/A,N/A,N/A,eng
Star Trek Gateways - What Lay Beyond,"Peter David, Diane Carey, Keith R. A. DeCandido, Peter David, Christie Golden, Robert Greenberger",2001,N/A,N/A,N/A,eng
Dread Empire's Fall,Walter Jon Williams,2003,N/A,N/A,N/A,eng
Spider-Man,Todd Dezago,1997,N/A,N/A,N/A,eng
Planet of adventure,"Jack Vance, Elijah Alexander",1985,N/A,N/A,N/A,eng
Chimaera's Copper,"Piers Anthony, Robert E. Margroff",1990,N/A,N/A,N/A,eng
The Andalite's Gift. Part I,Katherine Applegate,1997,N/A,N/A,N/A,eng
Amazing stories,"Isaac Asimov, Martin H. Greenberg, David Henry Keller, Miles John Breuer, Nelson Bond, Eando Binder, Robert Bloch, Robert Sheckley, Walter M. Miller Jr., Edmond Hamilton, Mark Clifton, Cordwainer Smith, Philip K. Dick, Ursula K. Le Guin, Robert Goulart, John Jakes, Philip José Farmer, James Tiptree, Jr., John Varley, Pat Murphy",1985,N/A,N/A,N/A,eng
The sin-eater,"Sharp, William",1895,N/A,N/A,N/A,eng
Bringers of Death,"Marc Gascoigne, Christian Dunn",2005,N/A,N/A,N/A,eng
Ingathering,Zenna Henderson,1995,N/A,N/A,N/A,eng
Rescue run,Anne McCaffrey,1991,N/A,N/A,N/A,eng
The Departure,Katherine Applegate,1998,N/A,N/A,N/A,"ger, fre, eng"
Clockwork Angels,"Kevin J. Anderson, Neil Peart",2012,N/A,N/A,N/A,eng
Ghost in the shell,Masamune Shirow,1995,N/A,N/A,N/A,eng
Girls with Sharp Sticks,Suzanne Young,2019,N/A,N/A,N/A,eng
Madwand,Roger Zelazny,1981,N/A,N/A,N/A,eng
The Portable Chaucer,Geoffrey Chaucer,1949,N/A,N/A,N/A,eng
Mutiny on the Enterprise,Robert E. Vardeman,1983,N/A,N/A,N/A,"ger, eng"
Asylum piece and other stories,Anna Kavan,1940,N/A,N/A,N/A,"eng, fre"
Stories of Your Life,Ted Chiang,2004,N/A,N/A,N/A,N/A
Outland,Alan Dean Foster,1981,N/A,N/A,N/A,eng
The Coming of the Quantum Cats,Frederik Pohl,1986,N/A,N/A,N/A,"fre, eng"
Bios,Robert Charles Wilson,1999,N/A,N/A,N/A,"fre, ger, eng"
H2LiftShips,"Bob Freeman, Robin Vuchnich",2020,N/A,N/A,N/A,eng
Beacon 23,Hugh Howey,2015,N/A,N/A,N/A,N/A
Ajin,Gamon Sakurai,2015,N/A,N/A,N/A,eng
Superman,George Francis Lowther,1942,N/A,N/A,N/A,eng
The Water Wars,Cameron Stracher,2011,N/A,N/A,N/A,eng
Maximum Ride,"James Patterson, NaRae Lee",2011,N/A,N/A,N/A,eng
Attack on Titan 6,Hajime Isayama,2013,N/A,N/A,N/A,eng
The Discovery,Katherine Applegate,1998,N/A,N/A,N/A,"fre, eng"
VAS,"Steve Tomasula, Stephen Farrell",2002,N/A,N/A,N/A,eng
Star Wars - Galaxy's Edge - Black Spire,Delilah S. Dawson,1900,N/A,N/A,N/A,eng
Marvel Universe Ultimate Spider-Man Volume 7 (Marvel Adventures Spider-man),Marvel Comics,2014,N/A,N/A,N/A,N/A
Kabuki,David W. Mack,1996,N/A,N/A,N/A,eng
Phases of Gravity,Dan Simmons,1989,N/A,N/A,N/A,"spa, eng, fre"
Firewalker,Josephine Angelini,2001,N/A,N/A,N/A,eng
City of the Rats,Emily Rodda,2000,N/A,N/A,N/A,eng
Star Trek The Next Generation - Encounter at Farpoint,David Gerrold,1987,N/A,N/A,N/A,eng
Predator's Gold,Philip Reeve,2003,N/A,N/A,N/A,eng
Spider-Man,Adam-Troy Castro,1999,N/A,N/A,N/A,eng
Smith of Wooten Major and Farmer Giles of Ham,J.R.R. Tolkien,1967,N/A,N/A,N/A,"eng, cat"
Zone Null,Herbert W. Franke,1970,N/A,N/A,N/A,"ger, eng, rum, bul, ita, fre"
Tyrannosaur Canyon,Douglas Preston,2005,N/A,N/A,N/A,eng
Burn out,Kristi Helvig,2014,N/A,N/A,N/A,eng
The Journey,Katherine Applegate,2000,N/A,N/A,N/A,"eng, fre"
The Stars Are Legion,"Kameron Hurley, Nicole Poole, Teri Schnaubelt",2017,N/A,N/A,N/A,"fre, eng"
The furious flycycle,Jan Wahl,1968,N/A,N/A,N/A,eng
Nowhere Land,Katherine Applegate,2001,N/A,N/A,N/A,eng
The winds of dune,Brian Herbert,2009,N/A,N/A,N/A,eng
Star Wars - Planet of Twilight,Barbara Hambly,1997,N/A,N/A,N/A,"ger, fre, eng"
The Carhullan army,Sarah Hall,2007,N/A,N/A,N/A,"fre, eng"
Night of Masks,Andre Norton,1964,N/A,N/A,N/A,eng
Steppe,"Piers Anthony, Christopher Paul Carey, Chris Roberson, Erik Mona, James Sutter",1976,N/A,N/A,N/A,"ger, eng"
Little Mushroom,"Shisi, Xiao",2022,N/A,N/A,N/A,eng
Trullion,Jack Vance,1973,N/A,N/A,N/A,"eng, spa, dut"
Dinner at Deviant's Palace,Tim Powers,1985,N/A,N/A,N/A,eng
The dawn of all,Robert Hugh Benson,1911,N/A,N/A,N/A,eng
Michael Vey 3,Richard Paul Evans,2013,N/A,N/A,N/A,eng
Sky Without Stars,"Jessica Brody, Joanne Rendell",2019,N/A,N/A,N/A,eng
Thunderhead (2) (Arc of a Scythe),Neal Shusterman,N/A,N/A,N/A,N/A,N/A
The Last Wild,Piers Torday,2013,N/A,N/A,N/A,eng
Ecce and Old Earth,Jack Vance,1991,N/A,N/A,N/A,eng
New dimensions 3,Robert Silverberg,1973,N/A,N/A,N/A,eng
Bras & broomsticks,Sarah Mlynowski,2005,N/A,N/A,N/A,"spa, eng, dut"
Ox,Piers Anthony,1976,N/A,N/A,N/A,eng
Nunquam,Lawrence Durrell,1970,N/A,N/A,N/A,"eng, ger, fre"
"Akira, Vol. 4",Katsuhiro Ōtomo,2001,N/A,N/A,N/A,"por, eng"
The Massacre of Mankind,Stephen Baxter,2017,N/A,N/A,N/A,eng
Origin in death,Nora Roberts,2006,N/A,N/A,N/A,N/A
"Dilvish, the Damned",Roger Zelazny,1982,N/A,N/A,N/A,"eng, heb"
Star Trek 12,James Blish,1977,N/A,N/A,N/A,eng
When Michael Calls,John Farris,1991,N/A,N/A,N/A,eng
Starpol,John Tully,1984,N/A,N/A,N/A,"und, eng"
Adding a dimension,Isaac Asimov,1964,N/A,N/A,N/A,"rus, eng"
Dark light,Ken MacLeod,2001,N/A,N/A,N/A,eng
Turnabout,Margaret Peterson Haddix,2002,N/A,N/A,N/A,eng
The jewel-hinged jaw,Samuel R. Delany,1977,N/A,N/A,N/A,eng
Legends of Zita the spacegirl,Ben Hatke,2012,N/A,N/A,N/A,eng
Star Trek The Next Generation - Reunion,Michael Jan Friedman,1991,N/A,N/A,N/A,eng
The Service of the Sword,"David Weber, Jane Lindskold, Timothy Zahn, John Ringo, Victor Mitchell, Eric Flint, Kevin T. Collins, Khristine Hvam, Allyson Johnson, L.J. Ganser",2003,N/A,N/A,N/A,"eng, ger"
Star Wars - X-Wing - Starfighters of Adumar,Aaron Allston,1999,N/A,N/A,N/A,eng
Snake Agent,Liz Williams,2006,N/A,N/A,N/A,eng
The Kingdom,Jess Rothenberg,2019,N/A,N/A,N/A,"eng, ger"
The web between the worlds,Charles Sheffield,1979,N/A,N/A,N/A,"fre, spa, eng"
Moon Called,"Andre Norton, Andre Norton",1982,N/A,N/A,N/A,eng
Space relations,Donald Barr,1973,N/A,N/A,N/A,eng
Things We Didn't See Coming,Steven Amsterdam,2009,N/A,N/A,N/A,eng
Hominids,Robert J. Sawyer,2002,N/A,N/A,N/A,eng
Doom,"Dafydd Ab Hugh, Brad Linaweaver",1995,N/A,N/A,N/A,eng
Death in Winter,Michael Jan Friedman,2005,N/A,N/A,N/A,eng
The Hork-Bajir Chronicles,Katherine Applegate,1998,N/A,N/A,N/A,"fre, eng"
The Green Book (Sunburst Book),Jill Paton Walsh,1981,N/A,N/A,N/A,eng
Restore Me,Tahereh Mafi,2018,N/A,N/A,N/A,eng
Marrow,Robert Reed,2000,N/A,N/A,N/A,"spa, eng"
All my sins remembered,Joe Haldeman,1977,N/A,N/A,N/A,eng
Dark life,Kat Falls,2010,N/A,N/A,N/A,eng
Do You Dream of Terra-Two?,Temi Oh,2019,N/A,N/A,N/A,eng
Star Wars - Fate of the Jedi - Backlash,Aaron Allston,2010,N/A,N/A,N/A,eng
Star Trek - Ice Trap,L. A. Graf,1992,N/A,N/A,N/A,eng
The Remedy,Suzanne Young,2015,N/A,N/A,N/A,eng
Star Wars - Coruscant Nights I - Jedi Twilight,Michael Reaves,2008,N/A,N/A,N/A,eng
Assassin's Creed,"Christie Golden, Paz Pruneda Gonzalvez",2016,N/A,N/A,N/A,eng
Star Trek Deep Space Nine - The 34th Rule,"Armin Shimerman, David R. George III, David George",1999,N/A,N/A,N/A,eng
Appleseed,Masamune Shirow,1990,N/A,N/A,N/A,eng
Gifts from Eykis,Wayne W. Dyer,1983,N/A,N/A,N/A,"eng, spa"
The Essential Ellison,Harlan Ellison,1987,N/A,N/A,N/A,eng
Satan’s World,Poul Anderson,1968,N/A,N/A,N/A,"ger, eng"
Rogue,Mark Walden,2010,N/A,N/A,N/A,eng
The game of lives,James Dashner,2015,N/A,N/A,N/A,eng
MILA 2.0,Debra Driza,2013,N/A,N/A,N/A,eng
A Second Chance at Eden,Peter F. Hamilton,1998,N/A,N/A,N/A,"ger, eng"
Sailing Bright Eternity,Gregory Benford,1995,N/A,N/A,N/A,"ger, spa, eng"
All the brave promises,Mary Lee Settle,1966,N/A,N/A,N/A,eng
The Terminal Beach,J. G. Ballard,1964,N/A,N/A,N/A,eng
Swipe,Evan Angler,2011,N/A,N/A,N/A,eng
Fifty Degrees Below,Kim Stanley Robinson,2005,N/A,N/A,N/A,eng
The Flight of the Eisenstein (Horus Heresy),James Swallow,2007,N/A,N/A,N/A,eng
Artifact,Gregory Benford,1985,N/A,N/A,N/A,eng
Fahrenheit 451 (Fahrenheit 451 / Playground / Rock Cried Out),Ray Bradbury,1967,N/A,N/A,N/A,eng
The Throme of the Erril of Sherill,Patricia A. McKillip,1973,N/A,N/A,N/A,eng
The dream-quest of Vellitt Boe,Kij Johnson,2016,N/A,N/A,N/A,eng
Frank Einstein and the Antimatter Motor,Jon Scieszka,2014,N/A,N/A,N/A,"pol, eng"
Spaceships & spells,"Jane Yolen, Martin H. Greenberg, Charles Waugh, Isaac Asimov, Martin Harry Greenberg",1987,N/A,N/A,N/A,eng
Four novels of the 1960s,Philip K. Dick,2007,N/A,N/A,N/A,eng
The Alchemy of Stone,Ekaterina Sedia,2008,N/A,N/A,N/A,"fre, eng"
Crashlander,Larry Niven,1994,N/A,N/A,N/A,"eng, ger"
A million open doors,John Barnes,1992,N/A,N/A,N/A,"ita, ger, fre, eng"
Worlds apart,Joe Haldeman,1983,N/A,N/A,N/A,eng
The Reefs of Space,"Frederik Pohl, Jack Williamson",1964,N/A,N/A,N/A,eng
After long silence,Sheri S. Tepper,1987,N/A,N/A,N/A,eng
Quest for the Future,A. E. van Vogt,1970,N/A,N/A,N/A,eng
"I, Robot","Harlan Ellison, Isaac Asimov",1994,N/A,N/A,N/A,eng
Transcendent,Stephen Baxter,2005,N/A,N/A,N/A,eng
Metal Swarm,Kevin J. Anderson,2007,N/A,N/A,N/A,eng
Star Trek The Next Generation - Vendetta - The Giant Novel,Peter David,1991,N/A,N/A,N/A,eng
The City,Jane Gaskell,1966,N/A,N/A,N/A,"ger, eng"
Nebula award stories 1965,Damon Knight,1966,N/A,N/A,N/A,"ger, eng"
The Dream Compass,Jeff Bredenberg,1991,N/A,N/A,N/A,eng
Political writings,Mary Wollstonecraft,1790,N/A,N/A,N/A,eng
Star Wars - Young Jedi Knights - Trouble on Cloud City,Kevin J. Anderson,1998,N/A,N/A,N/A,eng
The Story Of Martha,"David Roden, Dan Abnett, Dan Abnett",2008,N/A,N/A,N/A,eng
Amped,Daniel H. Wilson,2012,N/A,N/A,N/A,eng
Signal to Noise,Neil Gaiman,1992,N/A,N/A,N/A,eng
A Strange Discovery,Charles Romyn Dake,1975,N/A,N/A,N/A,eng
Best science fiction stories of Clifford Simak,Clifford D. Simak,1965,N/A,N/A,N/A,eng
Murder at Government House,Elspeth Huxley,1937,N/A,N/A,N/A,eng
Voyagers - The Secrets of Amenti - Volume 2,"Ashayana Deane, Anna Hayes",2001,N/A,N/A,N/A,eng
The Sunlit Man,Brandon Sanderson,2023,N/A,N/A,N/A,"eng, spa"
The Black Woman,Toni Cade,1970,N/A,N/A,N/A,eng
Skyfall,"Harry Harrison, Rowena Morrill",1976,N/A,N/A,N/A,"ger, eng"
Stålsprånget,Per Wahlöö,1968,N/A,N/A,N/A,"ger, swe, dut, eng"
The yellow danger,"M. P. Shiel, George Locke",1898,N/A,N/A,N/A,eng
Empress of a thousand skies,Rhoda Belleza,2017,N/A,N/A,N/A,eng
Doctor Who,"Various, Malorie Blackman, Holly Black, Neil Gaiman, Derek Landy, Charles Higson, BBC Books Staff, Adrian Mole, Bernard Cornwell",2003,N/A,N/A,N/A,eng
"Meanwhile, Elsewhere","Cat Fitzpatrick, Casey Plett",2017,N/A,N/A,N/A,eng
Star wars,"W. Haden Blackman, Ben Caldwell, Matt Fillbach, Shawn Fillbach",2006,N/A,N/A,N/A,"spa, eng"
The planet of terror,"Patrick Burston, Alastair Graham",1985,N/A,N/A,N/A,"fre, eng"
Miles in love,Lois McMaster Bujold,2006,N/A,N/A,N/A,eng
Whispering Woods,Clayton Emery,1995,N/A,N/A,N/A,"ger, eng"
"The voice of the dolphins, and other stories",Leo Szilard,1961,N/A,N/A,N/A,eng
The Master of Disguise,Jude Watson,2002,N/A,N/A,N/A,eng
The thousandth floor,Katharine McGee,2016,N/A,N/A,N/A,eng
Round-about Rambles in Lands of Fact and Fancy,Frank R. Stockton,1872,N/A,N/A,N/A,eng
Eater,Gregory Benford,2000,N/A,N/A,N/A,"ger, fre, eng"
To Live Forever,Jack Vance,1956,N/A,N/A,N/A,"fre, eng, ger"
vN,Madeline Ashby,2012,N/A,N/A,N/A,eng
The Year's Best Science Fiction,Gardner R. Dozois,1998,N/A,N/A,N/A,eng
Flight of the Horse,Larry Niven,1973,N/A,N/A,N/A,eng
Shattered Chains,Clayton Emery,1995,N/A,N/A,N/A,eng
More Than Honor,"David Weber, David Drake, S. M. Stirling",1998,N/A,N/A,N/A,"ger, eng"
"Miles, mystery & mayhem",Lois McMaster Bujold,2001,N/A,N/A,N/A,"ger, eng"
The secret war,Dennis Wheatley,1937,N/A,N/A,N/A,eng
Arrival,Ted Chiang,2016,N/A,N/A,N/A,N/A
The starry rift,"James Tiptree, Jr.",1986,N/A,N/A,N/A,"ita, eng"
Vrouwen in Wonderland,Pamela Sargent,1974,N/A,N/A,N/A,eng
Vamps,"Martin H. Greenberg, Charles G. Waugh, Stephen King",1987,N/A,N/A,N/A,eng
Postmarked the Stars,Andre Norton,1969,N/A,N/A,N/A,eng
"The faded sun, Shon'jir",C. J. Cherryh,1978,N/A,N/A,N/A,eng
The Humans,Matt Haig,2001,N/A,N/A,N/A,eng
Descent of Anansi,Larry Niven,1982,N/A,N/A,N/A,"spa, eng"
Entertain the End,Katherine Applegate,2001,N/A,N/A,N/A,eng
Don Rodriguez,Lord Dunsany,1922,N/A,N/A,N/A,eng
Testing,Joelle Charbonneau,2013,N/A,N/A,N/A,eng
Lion of Macedon,David A. Gemmell,1990,N/A,N/A,N/A,eng
Ezra's Gamble,Ryder Windham,2014,N/A,N/A,N/A,eng
Crisis on Infinite Earths,Marv Wolfman,1998,N/A,N/A,N/A,eng
Power Play,"Anne McCaffrey, Elizabeth Ann Scarborough",1992,N/A,N/A,N/A,"fre, eng"
Star Trek Federation Cassette,"Judith Reeves-Stevens, Garfield Reeves-Stevens",1991,N/A,N/A,N/A,eng
Inklings,Humphrey Carpenter,1978,N/A,N/A,N/A,eng
Invasions,"Isaac Asimov, Martin H. Greenberg, Charles G. Waugh, A. E. van Vogt, Eric Frank Russell, Bob Shaw, Mark Clifton, Philip K. Dick, Walter M. Miller Jr., Lester del Rey, Avram Davidson, Piers Anthony, Philip E. High, William Tenn, Albert Flynn, Fred Saberhagen, Henry Kuttner",1990,N/A,N/A,N/A,eng
Mogworld,Yahtzee Croshaw,2010,N/A,N/A,N/A,eng
The Final Encyclopedia,Gordon R. Dickson,1984,N/A,N/A,N/A,eng
The Trail of Cthulhu,August Derleth,1945,N/A,N/A,N/A,"spa, eng"
Lord of the World,Robert Hugh Benson,2012,N/A,N/A,N/A,eng
Entice (Need #2),Carrie Jones,2010,N/A,N/A,N/A,eng
Illustrations of political economy,Harriet Martineau,1832,N/A,N/A,N/A,"eng, fre"
Ascendant Sun,Catherine Asaro,2000,N/A,N/A,N/A,eng
Greener Than You Think,Ward Moore,1947,N/A,N/A,N/A,eng
Cuckoo's Egg (Alliance-Union Universe),C. J. Cherryh,1985,N/A,N/A,N/A,eng
Planetary,Warren Ellis,2001,N/A,N/A,N/A,eng
The Best of Larry Niven,Larry Niven,2010,N/A,N/A,N/A,N/A
Akira,Katsuhiro Ōtomo,1900,N/A,N/A,N/A,eng
The Best of C. L. Moore,C. L. Moore,1975,N/A,N/A,N/A,eng
Belvedere,George Crenshaw,1982,N/A,N/A,N/A,eng
The Siege of Dome (Empyrion #2),Stephen R. Lawhead,1986,N/A,N/A,N/A,eng
Remembering Satan,Lawrence Wright,1994,N/A,N/A,N/A,eng
Time and Stars,Poul Anderson,1964,N/A,N/A,N/A,"ger, eng"
Agent of Byzantium,Harry Turtledove,1987,N/A,N/A,N/A,eng
Star Trek - Vulcan's Forge,"Josepha Sherman, Susan Shwartz",1997,N/A,N/A,N/A,eng
Dragon's Code,Gigi McCaffrey,2018,N/A,N/A,N/A,eng
Jirel of Joiry,C. L. Moore,1977,N/A,N/A,N/A,eng
One More for the Road,Ray Bradbury,2002,N/A,N/A,N/A,"eng, spa"
The false mirror,Alan Dean Foster,1992,N/A,N/A,N/A,eng
Retribution Falls,Chris Wooding,2009,N/A,N/A,N/A,eng
Castleview,Gene Wolfe,1990,N/A,N/A,N/A,eng
Perseus Spur,Julian May,1997,N/A,N/A,N/A,eng
Looking Backward,Edward Bellamy,1917,N/A,N/A,N/A,eng
Midnight robber,Nalo Hopkinson,2000,N/A,N/A,N/A,eng
"20,000 Leagues under the Sea",Jules Verne,1992,N/A,N/A,N/A,eng
Wild Cards #5,"George R. R. Martin, Wild Cards Trust",1988,N/A,N/A,N/A,eng
Robert Ludlum's  The Patriot Attack,Kyle Mills,2015,N/A,N/A,N/A,eng
Neon Genesis Evangelion,Fumino Hayashi,2006,N/A,N/A,N/A,eng
The Mind Cage,A. E. van Vogt,1957,N/A,N/A,N/A,eng
One of us,Michael Marshall Smith,1998,N/A,N/A,N/A,eng
Midnighters #2,Scott Westerfeld,2005,N/A,N/A,N/A,eng
A for Andromeda,Fred Hoyle,N/A,N/A,N/A,N/A,N/A
Star Trek 10,James Blish,1974,N/A,N/A,N/A,"ger, eng"
Star Wars - Black Fleet Crisis - Tyrant's Test,Michael P. Kube-McDowell,1996,N/A,N/A,N/A,"ger, eng, fre"
Fifty short science fiction tales,"Isaac Asimov, Groff Conklin, Poul Anderson, Alan Bloch, Anthony Boucher, Fredric Brown, Charles Muñoz, Cleve Cartmill, Peter Grainger, James Causey, Arthur C. Clarke, Mildred Clingerman, Roger D. Aycock, Arthur Feldman, Jack Finney, Stuart Friedman, Lawrence L. LeShan, Donald A. Wollheim, Marion Gross, Robert A. Heinlein, Albert Hernhuter, H. B. Hickey, Wayland Hilton Young, Damon Knight, Cyril M. Kornbluth, Fritz Leiber, Jack Lewis, John D. MacDonald, Avro Manhattan, Winston K. Marks, John P. McKnight, Lion Miller, Alan Nelson, Alan Edward Nourse, Peter Phillips, Arthur Porges, Mack Reynolds, Frank M. Robinson, Edward G. Robles Jr., Eric Frank Russell, James H. Schmitz, Howard Schoenfeld, Margaret St. Clair, Robert Sheckley, Walt Sheldon, Evelyn E. Smith, Will Stanton, Theodore Sturgeon, William Tenn, A. E. van Vogt, Ralph Williams, S. Fowler Wright, Karen Anderson",1963,N/A,N/A,N/A,eng
Defender,C. J. Cherryh,2001,N/A,N/A,N/A,eng
Science verse,"Jon Scieszka, Lane Smith",2004,N/A,N/A,N/A,"chi, eng"
One King's Way (Hammer and the Cross),Harry Harrison,1994,N/A,N/A,N/A,eng
The White Fox chronicles,"Gary Paulsen, Hunter Davis",1997,N/A,N/A,N/A,eng
The World Wreckers,Marion Zimmer Bradley,1971,N/A,N/A,N/A,"eng, ger"
The Search for WondLa,Tony DiTerlizzi,2010,N/A,N/A,N/A,eng
Force of nature,C. J. Box,2012,N/A,N/A,N/A,eng
Kindred Spirits,"Mark Anthony, Ellen Porath",1991,N/A,N/A,N/A,"heb, eng"
Huysman's Pets,Kate Wilhelm,1986,N/A,N/A,N/A,"und, eng"
Fall of Hades (Michael Vey #6),Richard Paul Evans,2017,N/A,N/A,N/A,N/A
Flatlander,"Larry Niven, Dennis Holland",1995,N/A,N/A,N/A,"ger, eng"
The humans,Matt Haig,2013,N/A,N/A,N/A,eng
Merlin's Mirror,Andre Norton,1975,N/A,N/A,N/A,eng
Judge Dredd,"John Wagner, Alan Grant, Colin MacNeil, Peter Doherty",1900,N/A,N/A,N/A,N/A
After the rain,"Bowen, John",1959,N/A,N/A,N/A,eng
The Unblemished,Conrad Williams,2006,N/A,N/A,N/A,eng
Star Wars - The New Jedi Order - Edge of Victory I - Conquest,J. Gregory Keyes,2001,N/A,N/A,N/A,"eng, fre"
The Companions,Sheri S. Tepper,2003,N/A,N/A,N/A,eng
The day of the dissonance,Alan Dean Foster,1984,N/A,N/A,N/A,eng
Mute,Piers Anthony,1981,N/A,N/A,N/A,eng
Atlan,Jane Gaskell,1965,N/A,N/A,N/A,"ger, eng"
Michaelmas,Algis Budrys,1977,N/A,N/A,N/A,"ita, eng"
Doctor Who,Tony Lee,2011,N/A,N/A,N/A,eng
The Judas Strain,James Rollins,2007,N/A,N/A,N/A,eng
Nights Black Agent,Fritz Leiber,1947,N/A,N/A,N/A,eng
The Day the Martians Came,Frederik Pohl,1988,N/A,N/A,N/A,eng
Patrimony,Alan Dean Foster,2007,N/A,N/A,N/A,eng
Godzilla,Greg Cox,2014,N/A,N/A,N/A,N/A
Dark prince,David A. Gemmell,1991,N/A,N/A,N/A,"fre, eng"
Fugitives,Alexander Gordon Smith,2012,N/A,N/A,N/A,eng
Swords & Dark Magic,"Jonathan Strahan, Lou Anders",2010,N/A,N/A,N/A,"cze, eng, pol"
The Beauty,Aliya Whiteley,2014,N/A,N/A,N/A,eng
Star Wars - Jedi Apprentice - The Threat Within,Jude Watson,2002,N/A,N/A,N/A,eng
Bloom (The Overthrow #1),Kenneth Oppel,2020,N/A,N/A,N/A,eng
Avogadro Corp,William Hertling,2011,N/A,N/A,N/A,N/A
Ship breaker,Paolo Bacigalupi,2010,N/A,N/A,N/A,eng
Wool Trilogy,Hugh Howey,2014,N/A,N/A,N/A,eng
Divergence,Charles Sheffield,1991,N/A,N/A,N/A,eng
The Stars Are Ours,Andre Norton,1954,N/A,N/A,N/A,eng
Worlds,Joe Haldeman,1981,N/A,N/A,N/A,eng
Dropped from the clouds,Jules Verne,1909,N/A,N/A,N/A,"und, eng"
Devil on my back,Monica Hughes        ,1984,N/A,N/A,N/A,eng
The Flying Sorcerers,David Gerrold,1975,N/A,N/A,N/A,"eng, ger"
Planet of the Damned,Harry Harrison,2012,N/A,N/A,N/A,eng
Those who watch,Robert Silverberg,1967,N/A,N/A,N/A,"eng, ger"
Enders,Lissa Price,2013,N/A,N/A,N/A,"gre, eng, dut"
Them,Katherine Applegate,2001,N/A,N/A,N/A,"fre, eng"
Wheel of the winds,M. J. Engh,1988,N/A,N/A,N/A,eng
The End of Mr. Y,Scarlett Thomas,2006,N/A,N/A,N/A,eng
Man on the Moon,Simon Bartram,2002,N/A,N/A,N/A,eng
This day all gods die,Stephen R. Donaldson,1996,N/A,N/A,N/A,eng
Betrayer of Worlds (Ringworld),"Larry Niven, Edward M. Lerner",2010,N/A,N/A,N/A,eng
Dark Run,Mike Brooks,2015,N/A,N/A,N/A,eng
Star Wars - Battlefront - Twilight Company,Alexander Freed,2015,N/A,N/A,N/A,eng
The book of Joan,Lidia Yuknavitch,2017,N/A,N/A,N/A,eng
Torn (The Missing #4),Margaret Peterson Haddix,2011,N/A,N/A,N/A,eng
Everyone on the Moon is Essential Personnel,Julian K Jarboe,2020,N/A,N/A,N/A,N/A
Star Trek - Vulcan's Glory,D. C. Fontana,1989,N/A,N/A,N/A,eng
The Black Hole,Alan Dean Foster,1979,N/A,N/A,N/A,eng
Star Wars - The New Jedi Order - Destiny's Way,Walter Jon Williams,2002,N/A,N/A,N/A,eng
World of trouble,Ben H. Winters,2014,N/A,N/A,N/A,eng
The Curious Case of the Clockwork Man,Mark Hodder,2011,N/A,N/A,N/A,"pol, tur, eng, fre"
Steampunk,"Ann VanderMeer, Jeff VanderMeer, Michael Moorcock, James Baylock, Ian R. MacLeod, Mary Gentle, Jay Lake, Joe R. Lansdale, Molly Brown, Ted Chiang, Michael Chabon, Paul Di Filippo, Rachel Pollack, Stepan Chapman, Neal Stephenson, Rick Klaw, Bill Baker",2008,N/A,N/A,N/A,eng
The Best of Arthur C. Clarke,Arthur C. Clarke,1973,N/A,N/A,N/A,eng
Land of unreason,"L. Sprague De Camp, Fletcher Pratt",1942,N/A,N/A,N/A,eng
